date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:55:44	539564/539564	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202014%2023:19:50%20GMT	http://tharit.tothong.com/assets/img/c_face_mod.jpg	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/assets/img/c_face_mod.jpg	(from http://tharit.tothong.com/)
07:55:44	310/310	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Jul%202016%2011:55:44%20GMT	http://tharit.tothong.com/simxsim	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/simxsim.15.delayed	(from http://tharit.tothong.com/)
07:55:45	14691/14691	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202014%2023:17:26%20GMT	http://tharit.tothong.com/simxsim/	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/simxsim/index.html	(from http://tharit.tothong.com/)
07:55:45	39644/39644	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Feb%202014%2023:45:51%20GMT	http://tharit.tothong.com/assets/img/t_4chette.png	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/assets/img/t_4chette.png	(from http://tharit.tothong.com/)
07:55:45	308/308	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Jul%202016%2011:55:45%20GMT	http://tharit.tothong.com/avsys	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/avsys	(from http://tharit.tothong.com/)
07:55:45	15882/15882	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202014%2023:17:08%20GMT	http://tharit.tothong.com/avsys/	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/avsys/index.html	(from http://tharit.tothong.com/)
07:55:47	214890/214890	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Feb%202014%2023:46:05%20GMT	http://tharit.tothong.com/assets/img/t_igivemore.png	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/assets/img/t_igivemore.png	(from http://tharit.tothong.com/)
07:55:47	312/312	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Jul%202016%2011:55:47%20GMT	http://tharit.tothong.com/angulator	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/angulator.19.delayed	(from http://tharit.tothong.com/)
07:55:47	13807/13807	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202014%2023:17:05%20GMT	http://tharit.tothong.com/angulator/	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/angulator/index.html	(from http://tharit.tothong.com/)
07:55:49	351247/351247	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Feb%202014%2023:46:08%20GMT	http://tharit.tothong.com/assets/img/t_pcomp.png	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/assets/img/t_pcomp.png	(from http://tharit.tothong.com/)
07:55:49	307/307	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Jul%202016%2011:55:49%20GMT	http://tharit.tothong.com/algo	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/algo.1b.delayed	(from http://tharit.tothong.com/)
07:55:50	16201/16201	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202014%2023:17:06%20GMT	http://tharit.tothong.com/algo/	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/algo/index.html	(from http://tharit.tothong.com/)
07:56:12	137573/137573	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Feb%202014%2023:45:53%20GMT	http://tharit.tothong.com/assets/img/t_algo.png	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/assets/img/t_algo.png	(from http://tharit.tothong.com/)
07:56:13	314/314	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Jul%202016%2011:56:13%20GMT	http://tharit.tothong.com/typhoonflux	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/typhoonflux.1d.delayed	(from http://tharit.tothong.com/)
07:56:13	14723/14723	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202014%2023:17:31%20GMT	http://tharit.tothong.com/typhoonflux/	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/typhoonflux/index.html	(from http://tharit.tothong.com/)
07:56:17	193026/193026	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Feb%202014%2023:45:57%20GMT	http://tharit.tothong.com/assets/img/t_avsys.png	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/assets/img/t_avsys.png	(from http://tharit.tothong.com/)
07:56:17	307/307	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Jul%202016%2011:56:17%20GMT	http://tharit.tothong.com/sdub	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/sdub.1f.delayed	(from http://tharit.tothong.com/)
07:56:18	14045/14045	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202014%2023:17:25%20GMT	http://tharit.tothong.com/sdub/	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/sdub/index.html	(from http://tharit.tothong.com/)
07:56:26	237712/237712	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Feb%202014%2023:45:55%20GMT	http://tharit.tothong.com/assets/img/t_angulator.png	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/assets/img/t_angulator.png	(from http://tharit.tothong.com/)
07:56:27	306/306	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Jul%202016%2011:56:26%20GMT	http://tharit.tothong.com/soi	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/soi.21.delayed	(from http://tharit.tothong.com/)
07:56:27	14100/14100	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Feb%202014%2023:17:28%20GMT	http://tharit.tothong.com/soi/	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/soi/index.html	(from http://tharit.tothong.com/)
07:56:28	272421/272421	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Feb%202014%2023:46:11%20GMT	http://tharit.tothong.com/assets/img/t_simxsim.png	Y:/Downloads/My%20Web%20Sites/tharit/tharit.tothong.com/assets/img/t_simxsim.png	(from http://tharit.tothong.com/)
